18	2063
18	2063
2	3406
2	3406
2	3406
7	1372
7	1372
7	1372
16	497
16	1587
4	2310
4	2310
4	2310
5	3576
5	3576
5	3576
3	665
3	665
9	2393
9	2393
5	2292
5	2292
5	2292
2	1186
2	1186
2	1186
13	3919
3	2693
3	2693
17	296
17	296
17	296
17	296
0	54
0	54
1	2001
1	2001
14	606
14	606
17	3419
17	3419
17	3419
17	3419
6	3259
6	3259
6	2217
6	2217
17	3337
17	3337
17	3337
17	3337
19	216
19	216
18	2970
18	2970
8	3590
8	3590
8	3590
16	337
8	2563
8	2563
8	2563
9	1987
9	1987
3	1607
3	1607
15	3156
15	3156
17	1947
17	1947
17	1947
17	1947
6	2306
6	2306
11	21
11	21
11	21
11	814
11	814
11	814
10	2737
10	2737
10	2737
10	2737
11	1969
11	1969
11	1969
12	2046
12	2046
16	2381
15	2760
15	2760
12	1410
12	1410
15	2668
15	2668
5	1698
5	1698
5	1698
18	1892
18	1892
12	398
12	398
2	691
2	691
2	691
7	1413
7	1413
7	1413
1	1806
1	1806
13	768
10	2388
10	2388
10	2388
10	2388
7	1220
7	1220
7	1220
8	2371
8	2371
8	2371
10	2287
10	2287
10	2287
10	2287
16	1902
3	1723
3	1723
7	3822
7	3822
7	3822
19	3277
19	3277
11	64
11	64
11	64
11	1586
11	1586
11	1586
9	1823
9	1823
0	2703
0	2703
15	3300
15	3300
1	1792
1	1792
7	2241
7	2241
7	2241
13	1983
1	1507
1	1507
5	3826
5	3826
5	3826
12	3809
12	3809
6	1381
6	1381
12	496
12	496
9	2540
9	2540
4	606
4	606
4	606
17	1945
17	1945
17	1945
17	1945
12	2206
12	2206
3	1175
3	1175
2	3424
2	3424
2	3424
19	3425
19	3425
16	2322
5	2513
5	2513
5	2513
3	3409
3	3409
10	2177
10	2177
10	2177
10	2177
13	3607
13	2763
19	2273
19	2273
2	250
2	250
2	250
15	1993
15	1993
15	285
15	285
15	177
15	177
13	1601
6	2494
6	2494
8	3229
8	3229
8	3229
3	1629
3	1629
8	370
8	370
8	370
3	1199
3	1199
14	2071
14	2071
1	3431
1	3431
19	2127
19	2127
8	2552
8	2552
8	2552
19	192
19	192
0	2457
0	2457
12	238
12	238
1	1851
1	1851
7	2507
7	2507
7	2507
2	156
2	156
2	156
6	2245
6	2245
5	1973
5	1973
5	1973
18	3528
18	3528
19	2620
19	2620
1	3849
1	3849
19	2770
19	2770
5	723
5	723
5	723
16	1650
1	2501
1	2501
14	1590
14	1590
11	1053
11	1053
11	1053
9	3015
9	3015
9	85
9	85
3	1202
3	1202
8	2915
8	2915
8	2915
11	766
11	766
11	766
8	2861
8	2861
8	2861
15	2730
15	2730
18	2192
18	2192
